Week,Duration,Topic,Readings,
1,1,Vectors Matrices & Systems of Equations,L Chapters SLE V M,HW1
2,1,Trace Determinant Factorization of Matrices,L Chapters T VS D,HW2
3,1,Eigenvalues & Eigenvectors,L Chapters E,HW3
4,1,Linear Transformations Representations,L Chapters LT R,HW4
5,1,Discrete and Continuous Probability Distributions,P Chapters 1 and 2,HW5
6,1,Combinatorics and Conditional Probability,P Chapters 3 and 4,HW6
7,1,Important Distributions / Densities Expected Value & Variance,P Chapters 5 and 6,HW7
8,1,Sums of Random Variables Law of Large Numbers,P Chapters 7 and 8,HW8
9,1,Central Limit Theorem & Generating Functions,P Chapters 9 and 10,HW9
10,1,Markov Chains & Random Walks,P Chapters 11 and 12,HW10
11,1,Regression Analysis in R,R Chapters 1-3,HW11
12,1,Regression Analysis in R,R Chapters 4-6,HW12
13,1,Univariate & Multivariate Calculus,C As Needed,HW13
14,1,Taylor Series Approximations,C Chapter 8,HW14
15,1,Functions of Several Variables,C Chapter 12,HW15
16,1,Final Examination,All,Final Exam
